fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:14:50,gpt-5.4-mini,importar_test_imagen,1.84,2118,0,156,0.002291
2026-07-19,09:15:03,gpt-5.4-mini,importar_test_imagen,12.47,2963,0,499,0.004468
2026-07-19,09:15:05,gpt-5.4-mini,importar_test_imagen,2.31,2195,0,279,0.002902
2026-07-19,09:15:09,gpt-5.4-mini,importar_test_imagen,3.14,2579,0,373,0.003613
2026-07-19,09:15:11,gpt-5.4-mini,importar_test_imagen,1.82,2195,0,177,0.002443
2026-07-19,09:15:13,gpt-5.4-mini,importar_test_imagen,2.27,2195,0,206,0.002573
2026-07-19,09:15:16,gpt-5.4-mini,importar_test_imagen,2.13,2272,0,260,0.002874
2026-07-19,09:15:18,gpt-5.4-mini,importar_test_imagen,2.74,2272,0,260,0.002874
2026-07-19,09:15:23,gpt-5.4-mini,importar_test_imagen,4.35,2733,0,403,0.003863
2026-07-19,09:15:26,gpt-5.4-mini,importar_test_imagen,2.89,2426,0,328,0.003295
2026-07-19,09:15:29,gpt-5.4-mini,importar_test_imagen,2.53,2195,0,270,0.002861
2026-07-19,09:15:32,gpt-5.4-mini,importar_test_imagen,2.72,2426,0,226,0.002836
2026-07-19,09:15:34,gpt-5.4-mini,importar_test_imagen,2.09,2349,0,233,0.002810
2026-07-19,09:15:37,gpt-5.4-mini,importar_test_imagen,2.71,2502,0,342,0.003416
2026-07-19,09:15:40,gpt-5.4-mini,importar_test_imagen,2.66,2272,0,250,0.002829
2026-07-19,09:15:49,gpt-5.4-mini,importar_test_imagen,9.32,2272,0,318,0.003135
2026-07-19,09:15:52,gpt-5.4-mini,importar_test_imagen,2.10,2118,0,219,0.002574
2026-07-19,09:15:54,gpt-5.4-mini,importar_test_imagen,2.18,2118,0,228,0.002615
2026-07-19,09:15:56,gpt-5.4-mini,importar_test_imagen,1.67,2042,0,168,0.002288
2026-07-19,09:16:01,gpt-5.4-mini,importar_test_imagen,5.36,2195,0,171,0.002416
2026-07-19,09:16:04,gpt-5.4-mini,importar_test_imagen,2.69,2426,0,298,0.003161
2026-07-19,09:16:08,gpt-5.4-mini,importar_test_imagen,3.72,2579,0,410,0.003779
2026-07-19,09:16:11,gpt-5.4-mini,importar_test_imagen,2.40,2195,0,276,0.002888
2026-07-19,09:16:13,gpt-5.4-mini,importar_test_imagen,1.89,2118,0,201,0.002493
2026-07-19,09:16:16,gpt-5.4-mini,importar_test_imagen,3.25,2502,0,357,0.003483
